x,y
10.1,65.0
10.0,59.9
9.9,59.9
9.8,59.5
9.5,59.2
9.2,58.8
8.9,58.6
8.7,58.1
8.4,57.5
8.1,57.3
7.9,57.3
6.8,57.0
6.5,56.7
6.2,56.2
5.9,55.3
5.5,54.8
14.2,77.8
14.2,77.5
14.2,77.2
14.2,76.9
13.3,76.6
12.5,76.2
12.2,76.1
12.0,75.3
11.6,75.9
11.4,74.2
10.8,73.5
10.9,73.0
10.7,72.8
10.7,73.3
10.6,73.6
10.7,72.6
14.4,75.4
14.4,75.3
14.4,75.1
14.0,74.9
13.6,74.7
13.1,74.4
12.6,74.1
12.3,73.8
12.3,73.4
12.0,72.9
11.7,72.3
11.4,51.7
11.4,51.1
10.3,56.0
9.4,51.0
9.0,49.6
8.5,49.1
8.1,48.7
7.7,48.2
17.3,76.2
17.3,76.0
17.2,75.9
17.1,75.7
16.8,75.5
16.5,75.6
16.3,75.4
16.3,74.8
16.1,75.2
16.3,74.9
16.3,74.7
16.4,74.1
16.3,74.1
12.7,74.6
12.7,74.4
12.7,74.4
12.7,73.9
12.3,73.5
11.9,73.3
12.3,73.2
11.7,73.5
11.2,72.9
10.9,73.0
10.9,73.0
10.8,72.7
10.8,72.6
11.1,72.6
11.2,72.0
20.4,82.7
20.3,82.5
20.1,82.3
19.8,82.0
19.5,81.9
19.1,81.7
19.1,81.3
19.0,81.3
20.3,81.2
20.3,81.0
20.7,86.0
20.6,83.0
20.1,79.9
20.5,79.9
15.9,81.4
15.7,81.1
15.7,88.0
15.7,88.0
15.4,84.0
15.3,82.0
15.1,84.0
15.2,81.0
15.0,79.8
14.9,79.4
14.7,79.3
14.7,78.8
16.1,78.7
15.5,78.6
15.4,78.1
12.2,72.5
11.9,72.2
11.8,71.9
11.7,71.6
11.7,71.1
11.6,78.0
11.6,73.0
11.6,73.0
10.7,69.2
11.2,68.4
11.0,68.4
10.8,67.8
10.6,67.8
10.0,71.4
10.0,71.0
9.9,77.0
9.4,73.0
8.9,69.9
8.4,69.5
8.6,69.1
8.6,68.6
8.4,68.2
8.2,67.8
8.1,67.3
7.9,66.8
15.7,72.0
15.7,71.7
15.6,71.9
15.5,72.0
15.5,73.0
15.4,70.0
15.1,70.0
14.9,69.8
14.6,68.9
14.4,68.1
14.1,68.2
13.9,67.7
13.6,67.2
13.3,67.7
13.1,68.0
16.3,89.0
16.3,87.0
16.2,83.0
16.1,83.0
15.9,80.0
15.8,79.8
15.8,79.5
15.8,79.5
15.7,79.4
15.7,78.9
18.8,78.8
18.6,78.3
18.8,78.0
18.2,78.0
18.0,77.6
12.8,70.0
12.9,69.8
12.5,69.4
12.4,69.4
12.4,69.5
12.7,69.5
12.8,69.6
12.8,69.6
12.3,69.4
12.8,69.0
12.5,68.7
12.2,68.4
11.9,68.5
11.8,68.2
11.7,68.3
10.7,59.7
10.3,59.5
10.0,59.3
9.8,59.1
9.5,58.7
9.3,58.4
9.1,57.6
8.9,57.1
8.7,56.8
8.5,56.5
8.1,56.1
7.7,55.8
7.3,55.6
12.5,69.4
12.6,69.1
12.3,68.7
11.9,68.3
11.4,67.9
10.9,67.4
10.5,67.0
10.1,66.5
9.6,65.8
9.2,65.0
8.8,64.2
8.4,63.3
8.0,62.5
7.6,61.7
7.3,62.0
14.2,77.2
14.2,77.0
13.9,76.8
13.4,76.9
13.3,76.4
13.3,76.1
